,lab_name,lab_course,url,title
0,飯田　弘之 副学長,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/iida.html,名人の思考に学び、機械の思考を深化させ、思考の世界を科学する
1,青木　利晃 教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/aoki.html,社会を支える重要システムの安全性・信頼性を最先端の科学で実現する
2,池田　心 教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/ikeda.html,強いゲームAI、楽しませるゲームAI、教えるゲームAI
3,石原　哉 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/ishihara.html,計算から論証へ
4,井口　寧 教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/inoguchi.html,"次世代スーパーコンピュータの基礎技術を
研究します"
5,上原　隆平 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/uehara.html,折り紙、パズル、ゲームを学んで柔らかな知力を身につけよう！
6,鵜木　祐史 教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/unoki.html,"コンピュータに耳と等価な機能をもたせる
試みをしています"
7,緒方　和博 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/ogata.html,"状態機械をとおして
複雑な分散システムの核心に迫る！"
8,小川　瑞史 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/ogawa.html,"理論を現実の問題に：
信頼できるソフトウェア、セキュアなシステム"
9,金子　峰雄 教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/mkaneko.html,"ＬＳＩは計算処理の現場。先端ＬＳＩのための
回路技術と最適化技術を探求する！"
10,グェン ミン レ 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/nguyen.html,"Deep Learning, Natural Language
Understanding, Legal Text Processing"
11,クルカスキー ブライアン マイケル 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/kurkoski.html,"BITS: Bits of Information,Transmitted and Stored"
12,小谷　一孔 教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/kotani.html,…？…！…？…！…？？…！！…？？？…！！♪…ｍｏｄ％＃＠…
13,篠田　陽一 教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/shinoda.html,高信頼ネットワーク社会を目指して
14,田中　清史 教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/tanaka.html,高性能コンピュータを作ろう
15,丹 　康雄 教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/tan.html,家庭環境で人々を支援するICTシステムの研究を推進しています
16,チョン ナクヨン 教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/chong.html,"知覚認知情報処理に基づく
知能ロボット実現を目指す"
17,東条　敏 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/tojo.html,人間の思考はプログラム可能？
18,長谷川　忍 教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/hasegawa.html,「学び方の学び」を支援する学際的研究環境
19,平石　邦彦 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/hiraishi.html,"過去・現在・未来を知るための
システム数理技術について学ぼう"
20,藤﨑　英一郎 教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/fujisaki.html,情報通信システムの安全性を数学的に証明する
21,前園　涼 教授,サスティナブルイノベーション研究領域,https://www.jaist.ac.jp/laboratory/si/maezono.html,"JAISTのスパコンを使って世界最大級・
最先端シミュレーション研究に挑戦"
22,宮地　充子 教授,次世代デジタル社会基盤研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=58&l=0,
23,浅野　文彦 准教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/asano.html,"ロボットの効率的な運動制御を通して
ヒトや動物の運動を深く知ろう"
24,石井　大輔 准教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/ishii.html,信頼できるソフトウェアを実世界に組み込む
25,井之上　直也 准教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/inoue.html,"知識を使って推論し
言葉の行間を読むマシンをつくる
"
26,宇多　仁 准教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/uda.html,ICTシステム構築・運用の信頼性向上を目指して
27,岡田　将吾 准教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/okada.html,"多面的にコミュニケーション・行動を理解する
計算モデルに基づいた社会的人工知能の実現"
28,サクティ サクリアニ ワティアスリ 准教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/sakti.html,音声コミュニケーションによるHuman-AIコラボレーティブインテリジェンスに向けて
29,シュワルツマン グレゴリー 准教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/schwartzman.html,Algorithm design for the 21st century
30,白井　清昭 准教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/shirai.html,ことばを理解するコンピュータ
31,鈴木　正人 准教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/suzuki.html,"複雑なソフトウェアの仕組みやはたらきを
視覚的にわかりやすく表現します"
32,廣川 　直 准教授,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/hirokawa.html,プログラミング言語と自動証明
33,ベウラン ラズバン フローリン 准教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/beuran.html,セキュリティの研究により次世代社会の信頼性を高める
34,本郷　研太 准教授,サスティナブルイノベーション研究領域,https://www.jaist.ac.jp/laboratory/si/hongo.html,"スパコンを活用した計算科学と情報学の
融合による革新的物質設計"
35,吉高　淳夫 准教授,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/yoshitaka.html,"画像・映像処理とユーザインタフェースに
関わる広い範囲を研究しています"
36,リム　勇仁 准教授,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/lim.html,"For Forthcoming Research on Wireless,Sensor and Energy"
37,木谷　俊介 講師,人間情報学研究領域,https://www.jaist.ac.jp/laboratory/his/kidani.html,「聴く」を科学してヒトの生活をより良いものに
38,冨田　尭 講師,次世代デジタル社会基盤研究領域,https://www.jaist.ac.jp/laboratory/ngdi/tomita.html,ソフトウェアの高安全化・高信頼化を目指して
39,ラチャラク ティーラデチ 講師,コンピューティング科学研究領域,https://www.jaist.ac.jp/laboratory/cs/racharak.html,ReaLearn: Reasoning and Learning for Trustworthy AI
40,ヴィリエッタ ジョヴァンニ 助教,コンピューティング科学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=691&l=0,
41,エリボル アルマガン 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=702&l=0,
42,太田　光一 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=707&l=0,
43,河井　達治 助教,次世代デジタル社会基盤研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=688&l=0,
44,クハリッド モド ノア アクマル 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=703&l=0,
45,ケードキャートカチョーン ナッタウット 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=735&l=0,
46,コク ブン 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=747&l=0,
47,ジャヴィッド サハル 助教,次世代デジタル社会基盤研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=681&l=0,
48,シュエ ジュウ シュエン 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=705&l=0,
49,シリタナワン パーリンヤ 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=690&l=0,
50,中野　晃佑 助教,サスティナブルイノベーション研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=718&l=0,
51,ホ ツイウェイ 助教,次世代デジタル社会基盤研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=741&l=0,
52,マワリム ケンディ オリビア 助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=749&l=0,
53,リュウ レイ 助教,コンピューティング科学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=719&l=0,
54,上江洲　安史 特任助教,人間情報学研究領域,https://fp.jaist.ac.jp/public/Default2.aspx?id=753&l=0,
